,SUBJECT_17
training duration,196.9879379272461
,train,valid,test
logloss,0.1460602402498351,0.1427554631391708,0.11443949102463567
accuracy,0.9719261213720317,0.9772079772079773,0.9501246882793017
macro-precision,0.915493457266987,0.9545210580197653,0.9115319865319864
macro-recall,0.9010951822340331,0.9436916813026981,0.9041666666666667
macro-f1,0.9069432035962145,0.9460960995658046,0.9057692307692308
weighted-f1,0.9720782776435816,0.977176843639069,0.9490285275821436
micro-f1,0.9721372031662269,0.9772079772079773,0.9501246882793017
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9996656636576395,1.0,0.9995916700694161,0.9406451612903226,0.9531521110468479,0.9931932524415508,0.882882882882883,0.9473684210526316,0.8342857142857142,0.7567567567567567,0.8458498023715416,0.72992700729927
valid,1.0,1.0,1.0,0.9446064139941692,0.9585492227979275,0.9919999999999999,0.923076923076923,1.0,0.9,0.888888888888889,0.888888888888889,0.8571428571428571
test,1.0,1.0,1.0,0.8571428571428571,0.9120879120879121,1.0,1.0,1.0,1.0,0.6,1.0,0.5
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1458.0,101.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,58.0,1648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,18.0,0.0,1678.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,1.0,3.0,0.0,49.0,1.0,0.0,0.0,7.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,73.0,0.0,18.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,0.0,15.0
STAND_TO_LIE,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,10.0,0.0,107.0,0.0
LIE_TO_STAND,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,50.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
