train_acc,train_loss,val_acc,val_loss,test_acc,test_loss,lr
0.9186769198356683,0.3167519765797825,0.9213270142180094,0.3086338422874704,0.8661417322834646,0.3885160030655348,0.0005
0.926050774254714,0.2706422660117982,0.9298578199052133,0.2582800697941351,0.889763779527559,0.40802478539974985,0.0005
0.944590751079743,0.22120616836089751,0.9488151658767773,0.20713725157823606,0.9606299212598425,0.27397488171034284,0.0005
0.9442747287474982,0.20334200817378595,0.9478672985781991,0.19151716910267327,0.968503937007874,0.24090716344477936,0.0005
0.9476456336247762,0.1865051263101759,0.9516587677725118,0.1756198684186167,0.9658792650918635,0.19727409543014887,0.0005
0.9558622142631412,0.185707457962446,0.957345971563981,0.17274518487577756,0.968503937007874,0.2290522858226706,0.0005
0.9535447171600127,0.2004517977473533,0.9563981042654028,0.19268939122204531,0.984251968503937,0.23871802783074966,0.00025
0.9575476667017803,0.16636295895248474,0.9601895734597157,0.15853228094453495,0.979002624671916,0.18460537567539165,0.00025
0.964605498788581,0.16736571519804067,0.9611374407582939,0.16304063842194905,0.973753280839895,0.24438208232088665,0.00025
0.9676603813336142,0.1748241431391881,0.9658767772511848,0.17155444972323014,0.984251968503937,0.22051623487097072,0.00025
0.9670283366691246,0.1559866866334075,0.9706161137440759,0.1499840180455791,0.968503937007874,0.23367337604833088,0.00025
0.9705045823238175,0.16980132204733092,0.9658767772511848,0.16919061018957346,0.984251968503937,0.21160588302011565,0.00025
0.9683977667755188,0.1392527151996866,0.9620853080568721,0.13593391309982228,0.9816272965879265,0.1815908036519849,0.000125
0.9737701464236806,0.14490818532816943,0.9706161137440759,0.14291630604820793,0.9868766404199475,0.19462074820450911,0.000125
0.9711366269883072,0.14141415570189877,0.9649289099526066,0.14190015747648846,0.984251968503937,0.2000789291902477,0.000125
0.9708206046560623,0.1563929532986477,0.9620853080568721,0.15917067685963418,0.979002624671916,0.19102401933645013,0.000125
0.9737701464236806,0.1480908990094675,0.9753554502369668,0.15278219069349822,0.984251968503937,0.19768770473209893,0.000125
0.9753502580849047,0.13355194287896344,0.9706161137440759,0.1355597618066869,0.9816272965879265,0.17471139262041707,0.000125
0.971347308543137,0.12937119219836327,0.9658767772511848,0.13030383937166765,0.9868766404199475,0.157357553797444,6.25e-05
0.9741915095333403,0.13322150562832483,0.9706161137440759,0.13747545576773548,0.984251968503937,0.18506612302124345,6.25e-05
0.9782997998525229,0.14428920538900375,0.9772511848341232,0.1505535541552503,0.9868766404199475,0.2142798556430446,6.25e-05
0.9759823027493942,0.13557331049441035,0.9744075829383886,0.14126160246501038,0.984251968503937,0.18637763796828863,6.25e-05
0.9772463920783735,0.13450091000441114,0.9715639810426541,0.14022014310574646,0.984251968503937,0.17578549522740322,6.25e-05
0.9787211629621827,0.126039314330296,0.9734597156398104,0.13165612966528437,0.984251968503937,0.17937099026256972,6.25e-05
0.9776677551880333,0.13539342620055567,0.9753554502369668,0.14406391161877963,0.989501312335958,0.18599248370473467,5e-05
0.9774570736332034,0.12294950679118824,0.9734597156398104,0.13151699265032582,0.984251968503937,0.18495696861287114,5e-05
0.9804066154008216,0.123445169096637,0.9744075829383886,0.13353245450422097,0.984251968503937,0.19301943641322178,5e-05
0.9789318445170125,0.12517435493175894,0.9725118483412323,0.13508715878165728,0.984251968503937,0.18223898179262016,5e-05
0.9804066154008216,0.12253807081533762,0.976303317535545,0.1318506900733116,0.9868766404199475,0.19056273132484416,5e-05
0.9792478668492574,0.12735914734458945,0.9744075829383886,0.13649177732060871,0.9868766404199475,0.2070615072575767,5e-05
