,SUBJECT_23
training duration,157.1833963394165
,train,valid,test
logloss,0.12913753095588817,0.13209878244707662,0.2194859640938895
accuracy,0.9764842349467469,0.9753320683111955,0.9413265306122449
macro-precision,0.9327463489626658,0.8920868347338935,0.6565965427266797
macro-recall,0.9208398261108716,0.8959915667737478,0.7145539906103288
macro-f1,0.9230050198841292,0.8921552233638238,0.6756673631340014
weighted-f1,0.9764957504409272,0.9753219505984423,0.9355172731956838
micro-f1,0.9765896868079722,0.9753320683111955,0.9413265306122449
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,1.0,1.0,1.0,0.9501618122977346,0.9614499424626007,0.9937961595273264,0.9565217391304348,0.9655172413793104,0.8494623655913978,0.7301587301587301,0.8666666666666667,0.8023255813953488
valid,1.0,1.0,1.0,0.95906432748538,0.9717223650385604,0.9893617021276594,1.0,1.0,0.761904761904762,0.5714285714285715,0.7857142857142857,0.6666666666666665
test,0.9915966386554621,1.0,1.0,0.8947368421052632,0.873015873015873,0.993103448275862,0.0,0.0,0.888888888888889,0.6666666666666666,0.8000000000000002,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1468.0,86.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,46.0,1671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,15.0,0.0,1682.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,1.0,2.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,79.0,0.0,13.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,29.0
STAND_TO_LIE,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.0,104.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,69.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
