,SUBJECT_24
training duration,154.84626841545105
,train,valid,test
logloss,0.11809916550170989,0.1250955704953734,0.1177832998880526
accuracy,0.9816203654800887,0.9809885931558935,0.9804878048780488
macro-precision,0.9490664327010981,0.9163131157420895,0.9263468958618296
macro-recall,0.9450612664575652,0.9213160041492946,0.8901515151515151
macro-f1,0.9464536907075578,0.9173345489895489,0.8972222222222223
weighted-f1,0.9816110419735006,0.9808745088285091,0.9786111111111111
micro-f1,0.9816203654800887,0.9809885931558935,0.9804878048780488
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,1.0,1.0,1.0,0.9579667644183774,0.9676124964173116,0.9952718676122931,0.9661016949152543,0.9666666666666667,0.9025641025641027,0.8571428571428571,0.908296943231441,0.8358208955223881
valid,1.0,1.0,1.0,0.9679300291545189,0.9792746113989638,0.9920424403183024,0.9333333333333333,1.0,0.761904761904762,0.823529411764706,0.7500000000000001,0.7999999999999999
test,1.0,0.9833333333333333,1.0,0.9861111111111112,1.0,1.0,1.0,missed_category,0.6,1.0,0.5,0.8
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1470.0,83.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,29.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,12.0,0.0,1684.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,1.0,1.0,0.0,57.0,0.0,0.0,0.0,2.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,1.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.0,0.0,4.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,8.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,104.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,0.0,56.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,166.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,2.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,2.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,58.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,59.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,55.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,71.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,0.0,71.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,0.0,0.0,73.0,0.0,missed_category,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,2.0,missed_category,0.0,0.0,0.0,0.0
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,0,missed_category,3,0,1,0
LIE_TO_SIT,0,0,0,0,0,0,0,missed_category,0,3,0,0
STAND_TO_LIE,0,0,0,2,0,0,0,missed_category,3,0,3,0
LIE_TO_STAND,0,2,0,0,0,0,0,missed_category,0,0,0,4
,index,real_category,predicted_category
0,57,10,3
1,58,10,3
2,59,10,8
3,60,10,8
4,61,10,8
5,99,8,10
6,121,11,1
7,122,11,1
