,SUBJECT_16
training duration,224.889595746994
,train,valid,test
logloss,0.12580418559110057,0.15561070735985633,0.20895673605886173
accuracy,0.9808320168509742,0.9696682464454977,0.9736147757255936
macro-precision,0.9482232226076279,0.8645997790325098,0.9586456027632498
macro-recall,0.9432088669169499,0.8698524528114667,0.8985147315371197
macro-f1,0.9442287567581045,0.8663477838634499,0.9102243315365669
weighted-f1,0.9806967409164883,0.9695065748540639,0.9729575398318739
micro-f1,0.9807266982622432,0.9696682464454975,0.9736147757255936
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9996674426338543,0.9992565055762082,1.0,0.9566623544631306,0.9664351851851852,0.9949896846448572,0.9491525423728813,0.9836065573770492,0.9090909090909091,0.8260869565217391,0.908296943231441,0.8375
valid,1.0,1.0,1.0,0.9470588235294117,0.9587628865979383,0.9947089947089947,0.9333333333333333,1.0,0.7,0.5333333333333333,0.7407407407407408,0.5882352941176471
test,1.0,0.9902912621359222,1.0,0.9384615384615386,0.9575757575757576,0.9928057553956835,0.6666666666666666,missed_category,1.0,0.8,1.0,0.6666666666666666
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1503.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1479.0,75.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
STANDING,0.0,0.0,0.0,39.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,11.0,0.0,1688.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,1.0,0.0,1.0,2.0,0.0,56.0,0.0,0.0,0.0,0.0,1.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.0,0.0,3.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,18.0
STAND_TO_LIE,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,14.0,0.0,104.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,67.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,161.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,4.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,1.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0
STAND_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,10.0,0.0
LIE_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
confusion_matrix_test
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,51.0,0.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,51.0,0.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,47.0,0.0,0.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,61.0,6.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,1.0,79.0,0.0,0.0,missed_category,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,1.0,0.0,69.0,0.0,missed_category,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,1.0,0.0,0.0,0.0,0.0,1.0,missed_category,0.0,0.0,0.0,0.0
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,0,missed_category,3,0,0,0
LIE_TO_SIT,0,0,0,0,0,0,0,missed_category,0,2,0,0
STAND_TO_LIE,0,0,0,0,0,0,0,missed_category,0,0,4,0
LIE_TO_STAND,0,0,0,0,0,0,0,missed_category,0,1,0,1
,index,real_category,predicted_category
0,21,3,4
1,22,3,4
2,23,3,4
3,55,5,3
4,73,3,4
5,77,3,4
6,78,3,4
7,211,6,1
8,234,4,3
9,306,11,9
