,SUBJECT_7
training duration,230.17365169525144
,train,valid,test
STAND_TO_SIT,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_STAND,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category,missed_category
SIT_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,2,0,2,0
LIE_TO_SIT,0,0,0,0,0,0,missed_category,missed_category,0,1,0,0
STAND_TO_LIE,0,0,0,0,0,0,missed_category,missed_category,1,0,3,0
LIE_TO_STAND,0,0,0,0,0,0,missed_category,missed_category,0,0,0,3
,index,real_category,predicted_category
0,69,8,10
1,71,8,10
2,182,3,4
3,183,3,4
4,203,4,3
5,206,10,8
