,SUBJECT_10
training duration,226.43597769737244
,train,valid,test
logloss,0.1287063279411284,0.15576074264684267,0.3042449701845256
accuracy,0.981694560669456,0.9680150517403575,0.934640522875817
macro-precision,0.9467397645522623,0.8944880858863575,0.8505462791177077
macro-recall,0.9387857848913504,0.8504429521558646,0.8203856749311296
macro-f1,0.9417497621841457,0.8633463733669685,0.8127643331808766
weighted-f1,0.981662202642365,0.9674534320497501,0.9310220848557766
micro-f1,0.981694560669456,0.9680150517403575,0.934640522875817
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9996672212978369,0.9996289424860854,0.9995943204868154,0.961822264998396,0.970746946890088,0.9950102729674201,0.95,1.0,0.8787878787878788,0.8309859154929577,0.8793103448275862,0.8354430379746836
valid,1.0,0.9933774834437086,1.0,0.9329446064139941,0.9492385786802031,0.9973614775725593,0.5454545454545454,0.8,0.846153846153846,0.7058823529411765,0.923076923076923,0.6666666666666666
test,1.0,0.9791666666666666,1.0,0.8172043010752689,0.8440366972477064,1.0,1.0,missed_category,0.8,1.0,0.5,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1499.0,70.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,31.0,1709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,14.0,0.0,1695.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,1.0,1.0,0.0,1.0,0.0,57.0,0.0,0.0,0.0,2.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,0.0,6.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,17.0
STAND_TO_LIE,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,17.0,0.0,102.0,0.0
LIE_TO_STAND,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,66.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
