,SUBJECT_29
training duration,155.58765649795532
,train,valid,test
logloss,0.13289061062066154,0.15808583298379109,0.20887335054167025
accuracy,0.9805427008834665,0.9716177861873226,0.9340659340659341
macro-precision,0.949838056818586,0.8842173351571847,0.7507101086048454
macro-recall,0.9379729829042874,0.8887302852978065,0.7856550580431176
macro-f1,0.9431042099797676,0.8841728044889486,0.7546198743421823
weighted-f1,0.9804129090795208,0.9716734585895813,0.9308818137668433
micro-f1,0.9804375262936474,0.9716177861873226,0.9340659340659341
per_class_f1
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
train,0.9996672212978369,1.0,0.9995913363302003,0.9569961489088575,0.9663503019844695,0.994396933058095,0.9482758620689655,0.9818181818181818,0.88659793814433,0.8590604026845637,0.8831168831168832,0.8413793103448276
valid,1.0,1.0,1.0,0.9507246376811593,0.9612403100775194,0.9919999999999999,1.0,1.0,0.7272727272727272,0.6666666666666665,0.7407407407407408,0.5714285714285715
test,1.0,1.0,1.0,0.8823529411764706,0.864406779661017,0.9928057553956835,1.0,0.8,0.4444444444444444,0.5714285714285715,0.5,0.0
confusion_matrix_train
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,1502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,1345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,1491.0,73.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
STANDING,0.0,0.0,0.0,41.0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAYING,0.0,0.0,0.0,14.0,0.0,1686.0,0.0,0.0,0.0,0.0,0.0,0.0
STAND_TO_SIT,0.0,0.0,0.0,1.0,3.0,0.0,55.0,0.0,0.0,0.0,2.0,0.0
SIT_TO_STAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0
SIT_TO_LIE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,5.0,0.0
LIE_TO_SIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,10.0
STAND_TO_LIE,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,17.0,0.0,102.0,0.0
LIE_TO_STAND,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,61.0
confusion_matrix_valid
,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING,STAND_TO_SIT,SIT_TO_STAND,SIT_TO_LIE,LIE_TO_SIT,STAND_TO_LIE,LIE_TO_STAND
WALKING,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_UPSTAIRS,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WALKING_DOWNSTAIRS,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SITTING,0.0,0.0,0.0,164.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
